# danRer7.unannotated.name	danRer7.unannotated.chrom	danRer7.unannotated.strand	danRer7.unannotated.txStart	danRer7.unannotated.txEnd	danRer7.unannotated.cdsStart	danRer7.unannotated.cdsEnd	danRer7.unannotated.exonCount	danRer7.unannotated.exonStarts	danRer7.unannotated.exonEnds	danRer7.unannotated.name2	danRer7.unannotated.product	danRer7.unannotated.mrnaAcc	danRer7.unannotated.protAcc
NM_001128544-ann-3710-unann-0	chr7	+	71019499	71254873	71019499	71254873	23	71019499,71040805,71041045,71065637,71086043,71087574,71095034,71121572,71122039,71147143,71149679,71149875,71166214,71174169,71175471,71183864,71184114,71184569,71184758,71214683,71237488,71254437,71254672	71019763,71040945,71041283,71065717,71086118,71087741,71095116,71121713,71122145,71147237,71149739,71149957,71166358,71174287,71175570,71184038,71184201,71184653,71184858,71214774,71237612,71254590,71254873	si:dkey-119o24.1	probable ATP-dependent RNA helicase DHX36	NM_001128544-ann-3710-unann-0	NM_001128544-ann-3710-unann-0
NM_001002654-ann-2289-unann-1	chr5	+	8564086	8670206	8564086	8670206	11	8564086,8593260,8620265,8622533,8638193,8662095,8662859,8663990,8666429,8669916,8670116	8564185,8593412,8620302,8622904,8638372,8662190,8663034,8664171,8666550,8670032,8670206	pdlim5a	PDZ and LIM domain 5a	NM_001002654-ann-2289-unann-1	NM_001002654-ann-2289-unann-1
NM_130925-ann-7106-unann-2	chr13	-	45635725	45641829	45635725	45641829	8	45635725,45635963,45638130,45638490,45638784,45640139,45640336,45641705	45635829,45636022,45638362,45638624,45638931,45640256,45640458,45641829	khdrbs1a	KH domain containing, RNA binding, signal transduction associated 1a	NM_130925-ann-7106-unann-2	NM_130925-ann-7106-unann-2
NM_213549-ann-3562-unann-3	chr6	+	52756989	52798008	52756989	52798008	11	52756989,52759670,52763546,52763752,52779676,52780543,52782328,52783110,52792027,52792905,52797958	52757062,52760234,52763669,52763875,52779799,52780666,52782451,52783524,52792180,52793010,52798008	matn4	matrilin-2 precursor	NM_213549-ann-3562-unann-3	NM_213549-ann-3562-unann-3
NM_001003421-ann-5457-unann-4	chr10	-	202451	206890	202451	206890	7	202451,205232,205489,205651,205951,206287,206833	202534,205383,205564,205732,206101,206431,206890	zgc:92243	Down syndrome critical region protein 3	NM_001003421-ann-5457-unann-4	NM_001003421-ann-5457-unann-4
NM_201042-ann-6979-unann-5	chr13	-	31604969	31611659	31604969	31611659	9	31604969,31605157,31605321,31605538,31607446,31608560,31608704,31608880,31611431	31605072,31605228,31605445,31605615,31607580,31608589,31608793,31609075,31611659	zdhhc16	probable palmitoyltransferase ZDHHC16	NM_201042-ann-6979-unann-5	NM_201042-ann-6979-unann-5
NM_213549-ann-3562-unann-6	chr6	+	52756989	52798008	52756989	52798008	11	52756989,52759670,52763546,52763752,52767780,52780543,52782328,52783110,52792027,52792905,52797958	52757062,52760234,52763669,52763875,52767903,52780666,52782451,52783524,52792180,52793010,52798008	matn4	matrilin-2 precursor	NM_213549-ann-3562-unann-6	NM_213549-ann-3562-unann-6
NM_001035261-ann-6257-unann-7	chr12	+	25288808	25354254	25288808	25354254	34	25288808,25289419,25292911,25299447,25302086,25302952,25308150,25311893,25315404,25319673,25323482,25325825,25326522,25327045,25327721,25328596,25330969,25331824,25334451,25334714,25335974,25338817,25339546,25339823,25341495,25342489,25342745,25343038,25345359,25345741,25347446,25347716,25351012,25354167	25288816,25289568,25293587,25299482,25302151,25303089,25308436,25312251,25315564,25319806,25323551,25325994,25326618,25327132,25327899,25328769,25331125,25331961,25334599,25334860,25336150,25338959,25339740,25339906,25341644,25342595,25342953,25343172,25345515,25345885,25347568,25347872,25351033,25354254	svil	supervillin	NM_001035261-ann-6257-unann-7	NM_001035261-ann-6257-unann-7
NM_001003852-ann-5379-unann-8	chr10	+	30871442	31601483	30871442	31601483	8	30871442,31411140,31510237,31553039,31582749,31584512,31588248,31601385	30871503,31411231,31510470,31553165,31582881,31584633,31588400,31601483	ntm	neurotrimin isoform 1 precursor	NM_001003852-ann-5379-unann-8	NM_001003852-ann-5379-unann-8
NM_199811-ann-7844-unann-9	chr15	-	25835169	25875205	25835169	25875205	16	25835169,25841755,25842172,25844886,25851325,25861170,25864455,25865161,25870092,25870242,25870467,25872631,25873247,25873673,25874705,25875172	25835274,25841842,25842280,25845063,25851455,25861319,25864592,25865354,25870161,25870345,25870585,25872720,25873356,25873752,25874753,25875205	rpa1	replication protein A 70 kDa DNA-binding subunit	NM_199811-ann-7844-unann-9	NM_199811-ann-7844-unann-9
