# danRer7.unannotated.name	danRer7.unannotated.chrom	danRer7.unannotated.strand	danRer7.unannotated.txStart	danRer7.unannotated.txEnd	danRer7.unannotated.cdsStart	danRer7.unannotated.cdsEnd	danRer7.unannotated.exonCount	danRer7.unannotated.exonStarts	danRer7.unannotated.exonEnds	danRer7.unannotated.name2	danRer7.unannotated.product	danRer7.unannotated.mrnaAcc	danRer7.unannotated.protAcc
NM_001080052-0|chr19(+)	chr19	+	25377430	25401183	25382164	25399928	19	25377430,25382073,25383066,25383608,25384126,25384285,25385561,25386240,25387518,25388068,25388352,25390986,25391154,25392022,25393443,25395297,25396713,25399847,25400894	25377513,25382197,25383116,25383715,25384210,25384355,25385671,25386320,25387699,25388238,25388436,25391076,25391213,25392183,25393558,25395419,25396814,25400885,25401183	eya3	eyes absent homolog 3	NM_001080052	NM_001080052-0|chr19(+)
NM_001003606-1|chr19(+)	chr19	+	31879012	31927278	31907452	31927063	11	31879012,31900074,31907441,31912400,31918286,31921046,31921453,31921866,31922063,31926823,31926999	31879227,31900166,31907522,31912522,31918423,31921124,31921570,31921946,31922190,31926894,31927278	fam49a	uncharacterized protein LOC445212	NM_001003606	NM_001003606-1|chr19(+)
NM_001044847-2|chr19(+)	chr19	+	34354794	34447621	34354933	34447475	18	34354794,34368408,34404850,34410040,34418897,34419087,34419887,34420981,34430070,34430583,34434988,34438631,34440848,34441079,34441241,34442169,34446026,34447460	34355246,34368440,34405084,34410166,34418969,34419252,34419974,34421111,34430240,34430677,34435131,34438658,34440986,34441150,34441269,34442327,34446144,34447621	zgc:153436	protein spire homolog 1	NM_001044847	NM_001044847-2|chr19(+)
NM_001044847-3|chr19(+)	chr19	+	34354794	34447621	34354933	34447475	18	34354794,34368408,34404850,34410040,34418897,34419087,34419887,34420981,34427974,34430070,34430583,34434988,34440848,34441079,34441241,34442169,34446026,34447460	34355246,34368440,34405084,34410166,34418969,34419252,34419974,34421111,34428022,34430240,34430677,34435131,34440986,34441150,34441269,34442327,34446144,34447621	zgc:153436	protein spire homolog 1	NM_001044847	NM_001044847-3|chr19(+)
NM_001044312-4|chr19(+)	chr19	+	41031922	41073857	41031922	41073857	26	41031922,41033565,41033976,41037166,41037391,41041057,41041883,41042179,41043987,41046073,41046994,41049367,41049637,41053024,41055724,41055868,41056861,41059667,41062173,41062704,41067233,41068425,41068791,41070857,41071171,41073640	41032178,41033600,41034135,41037233,41037566,41041187,41042099,41042330,41044103,41046277,41047145,41049543,41049803,41053177,41055762,41056013,41056968,41059839,41062386,41062802,41067387,41068577,41068906,41071091,41071301,41073857	si:ch211-173p18.1	zinc finger protein 262	NM_001044312	NM_001044312-4|chr19(+)
NM_001080087-5|chr19(+)	chr19	+	41297902	41308285	41298001	41308023	10	41297902,41300211,41300398,41300568,41303124,41303370,41303531,41306238,41306429,41307933	41298025,41300309,41300477,41300670,41303157,41303445,41303630,41306319,41306480,41308285	si:ch211-287b5.3	protein FAM133	NM_001080087	NM_001080087-5|chr19(+)
NM_182968-6|chr19(+)	chr19	+	41943846	41962961	41944024	41962093	48	41943846,41946609,41946820,41947198,41947491,41947744,41947890,41948024,41948174,41948340,41950189,41950347,41950528,41950910,41951095,41951524,41952408,41952565,41953307,41954248,41954430,41954781,41954958,41955103,41955799,41956070,41956213,41956394,41956646,41956810,41958123,41958306,41958492,41958687,41958827,41959005,41959257,41959465,41959657,41959847,41960041,41960194,41960417,41960560,41960852,41961194,41961490,41961946	41944094,41946647,41946904,41947255,41947536,41947798,41947944,41948078,41948228,41948394,41950234,41950446,41950582,41951009,41951140,41951623,41952462,41952673,41953361,41954347,41954484,41954835,41955012,41955157,41955853,41956115,41956312,41956502,41956700,41956864,41958177,41958360,41958600,41958741,41958881,41959167,41959365,41959573,41959711,41959955,41960095,41960302,41960471,41960668,41961099,41961379,41961733,41962961	col1a2	collagen alpha-2(I) chain precursor	NM_182968	NM_182968-6|chr19(+)
NM_207072-7|chr19(+)	chr19	+	44319336	44405092	44323034	44404344	33	44319336,44322985,44338005,44342863,44343113,44345824,44346613,44346847,44347343,44347490,44349916,44350176,44357676,44361360,44367522,44368961,44369688,44372784,44376241,44377534,44378298,44384979,44387777,44393228,44393968,44395329,44395526,44396485,44398448,44401079,44401296,44401925,44404254	44319459,44323056,44338152,44342938,44343208,44345970,44346749,44346918,44347403,44347568,44350084,44350214,44357841,44361465,44367690,44369003,44369796,44372891,44376486,44377598,44378355,44385145,44387856,44393372,44394112,44395436,44395677,44396672,44398642,44401208,44401503,44402042,44405092	clasp2	CLIP-associating protein 2	NM_207072	NM_207072-7|chr19(+)
NM_207072-8|chr19(+)	chr19	+	44319336	44405092	44323034	44404344	34	44319336,44322985,44338005,44342863,44343113,44345824,44346613,44346847,44347343,44347490,44349916,44350176,44357676,44361360,44364597,44365163,44367522,44369688,44372784,44376241,44377534,44378298,44384979,44387777,44393228,44393968,44395329,44395526,44396485,44398448,44401079,44401296,44401925,44404254	44319459,44323056,44338152,44342938,44343208,44345970,44346749,44346918,44347403,44347568,44350084,44350214,44357841,44361465,44364624,44365190,44367690,44369796,44372891,44376486,44377598,44378355,44385145,44387856,44393372,44394112,44395436,44395677,44396672,44398642,44401208,44401503,44402042,44405092	clasp2	CLIP-associating protein 2	NM_207072	NM_207072-8|chr19(+)
NM_207072-9|chr19(+)	chr19	+	44319336	44405092	44323034	44404344	34	44319336,44322985,44338005,44342863,44343113,44345824,44346613,44346847,44347343,44347490,44349916,44350176,44357676,44361360,44364597,44365163,44367522,44368961,44369688,44372784,44376241,44377534,44384979,44387777,44393228,44393968,44395329,44395526,44396485,44398448,44401079,44401296,44401925,44404254	44319459,44323056,44338152,44342938,44343208,44345970,44346749,44346918,44347403,44347568,44350084,44350214,44357841,44361465,44364624,44365190,44367690,44369003,44369796,44372891,44376486,44377598,44385145,44387856,44393372,44394112,44395436,44395677,44396672,44398642,44401208,44401503,44402042,44405092	clasp2	CLIP-associating protein 2	NM_207072	NM_207072-9|chr19(+)
